movie_title,title_year,region,budget,gross
Psycho Sisters,1998,USA,14000000.0,15789288.529024728
Guest Artist,2019,USA,15000000.0,12300011.634424757
The End Will Be Spectacular,2019,Syria,33000000.0,179004190.1402586
Woman Without a Face,1947,Sweden,483000000.0,790515964.275331
Beverly Hills Brats,1989,USA,42000000.0,231445990.54249507
Quanta,2019,Australia,35000000.0,48780232.77257551
Paul Is Dead,2000,Germany,2000000.0,1254515.092780349
Counselor at Crime,1973,Italy,27000000.0,79140415.27954131
A Holiday Boyfriend,2019,USA,48000000.0,74471389.9266256
"The Minotaur, the Wild Beast of Crete",1960,Italy,14000000.0,20903865.19347455
The Saturn V Story,2014,United Kingdom,33000000.0,151650879.6825938
Cuidado con lo que deseas,2020,Mexico,3000000.0,23390166.6951356
Unhallowed Ground,2015,United Kingdom,4000000.0,571475.3981491878
Asylum of Darkness,2017,USA,7000000.0,66846221.526978165
Aaron's Blood,2016,USA,23000000.0,26834419.49342694
The Jar,1984,USA,11000000.0,9999437.327426378
Being a Human Person,2020,United Kingdom,7000000.0,54104337.277559295
Death of a Tea Master,1989,Japan,1000000.0,3314842.047584896
Persecution,1974,United Kingdom,303000000.0,9414498.892239802
The Secret of Madame Blanche,1933,USA,31000000.0,33919136.746569924
Folly to Be Wise,1952,United Kingdom,4000000.0,1685960.3436231806
"First Love, Last Rites",1997,USA,300000.0,40542.0
Paramapadham Vilayattu,2021,India,46000000.0,101670707.98271379
All in Time,2015,USA,9000000.0,34474376.55974579
The Three Kings,2020,United Kingdom,42000000.0,140517174.6560674
The Day the Earth Got Stoned,1979,USA,34000000.0,247389045.5271679
The River Fuefuki,1960,Japan,91000000.0,55705144.158378236
Stranger in Paradise,2016,Netherlands,48000000.0,15978150.28775613
Black and White Stripes: The Juventus Story,2016,USA,89000000.0,20754969.878304884
Sabtu Bersama Bapak,2016,Indonesia,265000000.0,3348738.204733145
Anveshana,1985,India,18000000.0,26931386.608314246
I Am Alone,2015,USA,40000000.0,2311720.123916556
The Taste of Apple Seeds,2013,Germany,4000000.0,2376229.0842428044
Maniacts,2001,USA,62000000.0,611670845.9512317
Dün Gece Bir Rüya Gördüm,2006,Turkey,20000000.0,16568668.265252193
Lal Salam,1990,India,9000000.0,85787571.73688829
Manasantha Nuvve,2001,India,1000000.0,1452097.1854617875
The Judge Steps Out,1948,USA,77000000.0,54522266.218318515
Apocalyptic 2077,2019,United Kingdom,99000000.0,67795594.31128378
Rugantino,1973,Italy,7000000.0,55798112.19366042
The Leper,1976,Poland,99000000.0,236512753.6185387
The GoodTimesKid,2005,USA,39000000.0,24397987.624063954
Studio illegale,2013,Italy,39000000.0,1309479.2799608891
Jungle Jim in the Forbidden Land,1952,USA,20000000.0,31181460.175310913
Tajomaru: Avenging Blade,2009,Japan,98000000.0,73284602.16714394
Udiplomo sasidzo,1961,Soviet Union,3000000.0,1136818.60966971
Oyunbozan,2000,Turkey,3000000.0,2618452.6207552464
Daffy's Inn Trouble,1961,USA,46000000.0,166762111.59181654
Jawan of Vellimala,2012,India,69000000.0,199466126.15651584
Humble Servants,2016,Poland,41000000.0,28569729.618180845
Eletrodoméstica,2005,Brazil,68000000.0,471159680.0725917
Repete,1995,Czech Republic,60000000.0,23918766.67925001
Porky's Poor Fish,1940,USA,8000000.0,1854290.6429994216
Carrots & Peas,1969,USA,151000000.0,391605602.6503796
18½,2021,USA,18000000.0,132287.05733200608
Biology 101,2013,USA,16000000.0,20375401.527268782
Identical Love,2021,USA,242000000.0,22784237.355194684
Sleeping Beauties,2017,USA,28000000.0,275724940.86023736
Women Is Losers,2021,USA,74000000.0,73704048.95591502
Last Call,1991,USA,13000000.0,82983071.3207715
Vampire Virus,2020,USA,57000000.0,2618637.2826786116
Hirugao,2017,Japan,2000000.0,2346722.2656826945
The Least of These: A Christmas Story,2018,USA,52000000.0,15283070.65247582
Night of the Warrior,1991,France,11000000.0,775155.8362260638
Per tutta la vita,2021,Italy,78000000.0,88869131.82532212
Everything About Her,2016,Philippines,65000000.0,297567814.6140159
Free Lunch Express,2020,USA,15000000.0,17210828.840935253
Bodily Harm,1995,USA,10000000.0,1830980.769850352
The Dead of Night,2021,USA,46000000.0,432789994.1310061
Robin Hood Makes Good,1939,USA,5000000.0,3959736.1071391096
The Good and the Bad,1976,France,89000000.0,164649863.11815944
"Bumblefuck, USA",2011,USA,56000000.0,1608350.4949630073
Victor,2015,USA,92000000.0,113334984.488295
Take Me to Town,1953,USA,21000000.0,5314410.692637865
The Sea Serpent,1985,Spain,13000000.0,22616684.778049357
American Courtesans,2013,USA,2000000.0,113727.54762166392
Martin's Day,1985,Canada,14000000.0,28218107.531749643
No Reasons,2021,United Kingdom,2000000.0,1942050.9203544515
Baja,2018,USA,19000000.0,167472663.5410375
"Namu, the Killer Whale",1966,USA,9000000.0,33956041.648838095
Take Care of My Little Girl,1951,USA,32000000.0,53980321.250039265
Key Witness,1960,USA,15000000.0,2448219.625401712
Playing Dangerous,1995,USA,76000000.0,85141599.03373027
Khullam Khulla Pyaar Karen,2005,India,83000000.0,176006789.2883573
Christmas on the Coast,2017,USA,30000000.0,163814443.62375805
Abhinetri,2016,India,49000000.0,44316869.50905426
Taoism Drunkard,1984,China,22000000.0,18492614.55874473
Uru,2017,India,16000000.0,4123042.641902547
Virtual Reality,2001,Federal Republic of Yugoslavia,46000000.0,274425677.97403276
You Are My Sunshine,2015,China,36000000.0,52315735.939285934
That Burning Feeling,2013,Canada,74000000.0,69903108.1087431
The Return of Bulldog Drummond,1934,United Kingdom,20000000.0,8989757.796037687
Cleavers: Killer Clowns,2019,United Kingdom,2000000.0,227336.43530413983
Big City Blues,1997,USA,24000000.0,35894689.213643976
Roots of Evil,1979,West Germany,2000000.0,1164881.110833136
Obsessio,2019,USA,69000000.0,128527344.74425465
The Crime of Doctor Crespi,1935,USA,32000000.0,22480675.04363167
Mazlum Kuzey,2015,Turkey,3000000.0,4083722.66944886
Chlorine,2015,Italy,32000000.0,1498673.4227370596
The Vanishing American,1925,USA,1000000.0,419617.72074315953
Closer to Heaven,2009,South Korea,303000000.0,160349653.41612792
Interstate,2007,USA,359000000.0,155560055.2334227
Blood Myth,2019,United Kingdom,22000000.0,25983724.52920791
A Date in 2025,2017,USA,39000000.0,82244096.06460087
Murder Bury Win,2020,USA,20000000.0,38295298.63509813
El club de los suicidas,2007,Spain,98000000.0,143858613.8410159
Eline Vere,1991,Netherlands,27000000.0,22221606.262771286
The Mole Song: Hong Kong Capriccio,2016,Japan,12000000.0,4652809.561459998
Coffee or Tea?,2020,China,41000000.0,1563448.2281294423
The Book of Secrets,2017,USA,10000000.0,52989705.33922148
The Three Swordsmen,1994,China,37000000.0,142432217.18704814
Porky's Double Trouble,1937,USA,50000000.0,298250824.01108253
Dawson Isla 10,2009,Chile,86000000.0,31760219.579113465
Totò contro Maciste,1962,Italy,48000000.0,127600550.571657
Just Maath Maathalli,2010,India,657000000.0,1109038345.8856008
Fall City,2018,USA,35000000.0,68448653.65175521
A Perfect Couple,2005,Japan,990000000.0,1198692572.1932511
Utopiayile Rajavu,2015,India,22000000.0,85534205.80971286
Don't Crack Under Pressure,2015,France,43000000.0,26552588.145139743
Desert of Blood,2008,USA,9000000.0,6779932.294960934
Reunion in Vienna,1933,USA,18000000.0,58595012.36835881
Mike Says Goodbye!,2012,Netherlands,84000000.0,366602294.8192221
Goonland,1938,USA,750000000.0,139087696.7530377
Corny Casanovas,1952,USA,39000000.0,27287809.007556543
Hamateur Night,1939,USA,5000000.0,2445726.878300696
North Atlantic,2010,United Kingdom,44000000.0,6520860.9885852095
By Night with Torch and Spear,1942,USA,89000000.0,50668880.506561406
Pekka ja Pätkä Suezilla,1958,Finland,7000000.0,2837365.8153392333
Blondie Goes to College,1942,USA,34000000.0,129938167.9580308
Edge of the Knife,2018,Canada,7000000.0,3201965.791470629
Ben & Jody,2022,Indonesia,46000000.0,68628325.48007752
The Princess and the Pea,2002,USA,6000000.0,30003404.778954163
Sergeant Ryker,1968,USA,868000000.0,130880300.37154604
Tamanna,1998,India,62000000.0,102182528.00589678
How to Seduce Your Teacher,1979,Italy,41000000.0,369399814.430063
Over Drive,2018,Japan,47000000.0,39875440.00535619
The Second Front,2005,Russia,56000000.0,468272207.9646403
Measure for Measure,2019,Australia,91000000.0,61489421.86131734
The Conscientious Objector,2004,USA,94000000.0,5455192.741820662
Little Treasure,1985,USA,212000000.0,54903642.00584376
The Second,2018,Australia,4000000.0,12253129.223509531
Love 65,1965,Sweden,3000000.0,5803374.668917316
Reach,2018,USA,40000000.0,340980267.3608526
Rucker,2022,USA,40000000.0,172786900.30395216
Suburban Birds,2018,China,4000000.0,29043106.092307698
Isoken,2017,Nigeria,91000000.0,39249337.031429864
Illuminated,2019,USA,981000000.0,4115181692.8609004
Studs Lonigan,1960,USA,8000000.0,5895222.353713739
Khachar Bhitor Ochin Pakhi,2021,Bangladesh,38000000.0,50412870.13112958
Backstreet Justice,1994,USA,38000000.0,1702377.784804951
Altergeist,2014,USA,32000000.0,5882553.325996514
Two Buddies and a Badger,2015,Norway,8000000.0,16597995.585907128
"Dark, Deadly & Dreadful",2018,USA,90000000.0,3945236.312697096
Fatal Pulse,1988,USA,53000000.0,71902572.21179412
Hot Child in the City,1987,USA,75000000.0,136382313.62090808
DieRy,2020,USA,40000000.0,63096569.986428276
Baby Needs a New Pair of Shoes,1974,USA,91000000.0,375614893.4782431
Dolores,2017,USA,2000000.0,1087212.5370583776
Angry Inuk,2016,Canada,89000000.0,34405459.11342284
Ivan Maryadaraman,2015,India,46000000.0,57880362.77754882
Sunday Light,2007,Spain,17000000.0,26305983.157714717
The Man Upstairs,1958,United Kingdom,219000000.0,905811719.7315471
Beside Bowie: The Mick Ronson Story,2017,United Kingdom,58000000.0,52454707.59586085
Die Ratten,1955,West Germany,3000000.0,1962210.0737639845
I Am Belfast,2015,United Kingdom,615000000.0,347540264.2501624
Birdy and the Beast,1944,USA,57000000.0,101608142.35641548
Captain Jack,1999,United Kingdom,33000000.0,14562607.392332098
Shawn Mendes: Live in Concert,2020,United Kingdom,62000000.0,221650073.21893007
Zen and the Art of Landscaping,2001,USA,35000000.0,12447288.973040259
Karate Warriors,1976,Japan,26000000.0,2609880.451748035
La Cucaracha,1934,USA,16000000.0,67557442.14957199
The Life of Reilly,2006,USA,80000000.0,23958748.1842179
The Shasta Triangle,2019,USA,32000000.0,178181302.08309814
Sohni Mahiwal,1984,India,2000000.0,3588867.2906000363
Mickey's Mellerdrammer,1933,USA,9000000.0,17024987.164989896
Police Police,2010,India,2000000.0,882703.9651162382
Day of the Full Moon,1998,Russia,37000000.0,308803980.7161068
For the Weekend,2020,USA,250000000.0,139541839.37699026
The Silver Surfer,1992,USA,1000000.0,1336489.795865825
Tramontane,2016,Lebanon,36000000.0,346920769.775668
Karmina 2,2001,Canada,8000000.0,62331434.080235876
3x3D,2013,France,41000000.0,23432853.21872687
Kung Fu Elliot,2014,Canada,20000000.0,5515521.127474692
Dead End Run,2003,Japan,34000000.0,29871420.96505461
Terry,2011,United Kingdom,8000000.0,11297139.983643984
Samuel Bleak,2013,USA,57000000.0,172739236.20883358
Come to My Voice,2014,Turkey,7000000.0,28909578.593127694
Au petit Marguery,1995,France,12000000.0,52178582.71722305
Blaze You Out,2013,USA,13000000.0,49911164.50350927
Na Wewe,2010,Belgium,12000000.0,6239424.727719527
Mon pote,2010,France,22000000.0,2462169.3046864355
Pan 1,1974,USA,22000000.0,32121214.95267173
Now You Tell One,1926,USA,44000000.0,187790893.98698953
Baciato dalla fortuna,2011,Italy,36000000.0,22130513.29389162
Empathy Bx,2012,Germany,5000000.0,34025270.41864309
Doctors' Wives,1971,USA,8000000.0,55164783.89922854
Linda Lovelace for President,1975,USA,50000000.0,14158583.329532526
Land Shark,2017,USA,11000000.0,10174441.182274297
Hold My Hand,2022,Denmark,25000000.0,802308.0211668365
An Unknown Compelling Force,2021,USA,22000000.0,29170788.32191659
The People Next Door,1970,USA,15000000.0,12861293.531761495
A Lady Surrenders,1944,United Kingdom,10000000.0,1637268.8669951062
Final Report,2020,Hungary,26000000.0,8560226.779484073
The Bod Squad,1974,China,32000000.0,28451335.29806122
Bali,2021,India,735000000.0,3335815148.510211
Double Walker,2021,USA,414000000.0,159528894.8142244
Faraar,1975,India,3000000.0,2326167.4701651856
Winners Take All,1987,USA,45000000.0,40524083.336884804
Aashik Aawara,1993,India,66000000.0,329534742.6621836
Pikadero,2015,Spain,254000000.0,340022509.63354903
Black Is Beltza,2018,Spain,52000000.0,458487532.6474432
The Unraveling,2015,Denmark,3000000.0,5098651.029785303
Loan Shark,2021,Serbia,73000000.0,100533835.06292377
Mohini,2018,India,50000000.0,18091629.3429204
Lady Dragon 2,1993,Indonesia,15000000.0,3577277.2630743007
Unrated: The Movie,2009,Germany,38000000.0,8396758.090287631
The Hellfire Club,1961,United Kingdom,15000000.0,9456219.344698515
The Investigator,2013,USA,35000000.0,80567366.16044663
Watermelon Juice,2019,Spain,45000000.0,286130362.96403325
Taste of Killing,1966,Spain,12000000.0,56770468.01075361
Kabuliwala,1961,India,870000000.0,366364212.2771414
Love on the Quiet,1985,France,25000000.0,192145274.19381657
The Messiah,1975,Italy,15000000.0,28137732.589364182
Locating Silver Lake,2018,USA,8000000.0,7751089.74595938
Murder by the Clock,1931,USA,7000000.0,7357667.837561558
Only Cloud Knows,2019,China,9000000.0,11454625.34726042
Erasing Frank,2021,Hungary,39000000.0,145915431.94894674
Stranger in the House,2015,USA,87000000.0,83789078.46889348
Smile Pretty,2009,USA,25000000.0,14102571.696142377
Game for Vultures,1979,United Kingdom,53000000.0,2731989.1193724102
That's the Way of the World,1975,USA,10000000.0,4874944.807477073
Woman Who Came Back,1945,USA,48000000.0,381160692.186051
Slightly French,1949,USA,16000000.0,129154888.70553252
This Was America,2020,Canada,20000000.0,6953313.961094932
Mission China,2017,India,13000000.0,2093042.9843023305
Gatling Gun,1968,Italy,388000000.0,20026823.83418778
The Billion Dollar Hobo,1977,USA,49000000.0,14381030.681304093
The Dead the Damned and the Darkness,2014,USA,77000000.0,120796985.41743462
Man in the Moon,1960,United Kingdom,33000000.0,50650573.7987145
Happy Camp,2014,USA,14000000.0,58005139.11264828
Wasabi Tuna,2003,USA,198000000.0,116269809.60512254
Mahmut & Meryem,2013,Turkey,2000000.0,3546697.7764229393
Elisa Before the End of the World,1997,Mexico,36000000.0,8736664.929290634
El espejo de los otros,2015,Argentina,6000000.0,11208430.335843742
Spring Parade,1940,USA,84000000.0,157266238.66778958
The Little One,1991,Yugoslavia,8000000.0,1356152.2951586707
The Witches Hammer,2006,United Kingdom,13000000.0,11325529.835701533
Barrio Universitario,2013,Chile,41000000.0,185009158.02385932
Premachi Goshta,2013,India,32000000.0,140108768.24276108
The Alps,2007,USA,87000000.0,120034851.96863106
Le dernier des six,1941,France,29000000.0,56434334.30271062
Valley of Ditches,2017,USA,43000000.0,2226546.721618447
Familienfest,2015,Germany,24000000.0,49579776.36984204
Naughty Boy,1962,India,7000000.0,30696979.517548043
Kékszakállú,2016,Argentina,16000000.0,31289881.4818395
Dobogó kövek,2010,Hungary,31000000.0,286921630.9297384
The Exquisite Corpus,2015,Austria,5000000.0,1430351.1735355752
The Woman of My Life,2010,Italy,4000000.0,583591.2445412661
"Glenn, the Flying Robot",2010,Belgium,3000000.0,27272147.88131585
Musical Chairs,2015,France,2000000.0,274289.4478950482
Night,1930,USA,17000000.0,22841185.74015975
Flying,2021,Iran,9000000.0,44055158.23838501
Driving Madeleine,2022,France,36000000.0,36581234.117891304
Babi Yar. Context,2021,Netherlands,2000000.0,1257214.8258078701
They/Them/Us,2021,USA,86000000.0,113113830.82964127
Gallows Road,2015,USA,33000000.0,56147779.028665975
Roof Culture Asia,2017,United Kingdom,12000000.0,9010353.882744122
The Cuban,2019,Canada,73000000.0,856337.6139391086
Endangered,2022,USA,3000000.0,1827536.3129020992
A Night of Knowing Nothing,2021,France,362000000.0,1866033636.7658892
Float Like a Butterfly,2018,Ireland,10000000.0,7814605.518790318
Martin Margiela: In His Own Words,2019,Germany,6000000.0,15797128.20240501
Woman in Motion,2019,USA,19000000.0,5377716.51245925
Safe at Home!,1962,USA,38000000.0,5134465.009487437
Vivere,2019,Italy,732000000.0,1302461014.8080893
Valiyaperunnal,2019,India,45000000.0,39644525.72821756
No Ordinary Man,2020,Canada,3000000.0,4911353.0460357
Seduced by a Killer,2019,USA,35000000.0,11863458.533598928
This Is Meg,2017,USA,42000000.0,126682634.03666736
Frankenstein 90,1984,France,44000000.0,99724321.04858598
Murder in the Blue Room,1944,USA,16000000.0,51971367.51659575
Detective School Dropouts,1986,Italy,36000000.0,66599956.51259442
Lover Boy,1975,Italy,39000000.0,75257172.01236719
Dancing Pirate,1936,USA,72000000.0,165714384.75497943
Dead Right,1993,United Kingdom,73000000.0,135770671.98681372
The Park Bench,2014,USA,45000000.0,48838278.76923458
Load Shedding,2015,India,10000000.0,4856071.112940236
A New Christmas,2019,USA,42000000.0,303081922.4732424
Getting Even,1986,USA,56000000.0,49000993.08463756
The Gold Diggers,1983,United Kingdom,33000000.0,61098529.450737685
Body High,2015,USA,3000000.0,14965640.539070124
The Halt,2019,Philippines,41000000.0,31230937.12175345
Freak Dance,2010,USA,43000000.0,34627044.249950014
The Great Sioux Uprising,1953,USA,44000000.0,117419476.90319324
Baarish Aur Chowmein,2018,India,97000000.0,56500380.36923281
Il gaucho,1964,Italy,58000000.0,18885977.866748147
Clans of Intrigue,1977,China,3000000.0,1692085.8761743344
Jomblo,2006,Indonesia,546000000.0,441037920.0022792
Sneham Kosam,1999,India,12000000.0,11461876.04320252
Passport to Suez,1943,USA,84000000.0,130128470.44632456
The Web of Death,1976,China,20000000.0,38239546.59487662
Four Springs,2017,China,3000000.0,3523632.10351497
Never Forget,2008,USA,16000000.0,31896981.23376304
"Doin' It in the Park: Pick-Up Basketball, NYC",2012,USA,9000000.0,26675907.70674251
The Iceman Ducketh,1964,USA,43000000.0,6822551.828141669
Hockney,2014,United Kingdom,77000000.0,377899843.4772775
Faccia di Picasso,2000,Italy,9000000.0,12483193.337911014
Canary,2004,Japan,490000000.0,12998012.71505402
The Metamorphosis of Mr. Samsa,1977,Canada,67000000.0,122110887.51759306
Secrets,2007,USA,830000000.0,1162528083.4183645
L'ex-femme de ma vie,2004,France,42000000.0,77984175.74549122
Often an Orphan,1949,USA,18000000.0,140266407.33385962
Mama Manchu Alludu Kanchu,2015,India,682000000.0,1405458324.5802605
Joanna,2013,Poland,621000000.0,1239383127.3593702
Who Scent You?,1960,USA,13000000.0,7190801.518837676
A Phantasy,1952,Canada,38000000.0,223537682.04115355
The Colors of Fire,2022,France,48000000.0,4580381.290628944
The Influencer,2022,Philippines,75000000.0,81749520.00431548
La Verónica,2020,Chile,48000000.0,5148349.68555491
Backwater,2013,Japan,73000000.0,143173677.51440313
Doll House,2020,United Kingdom,82000000.0,66670190.36338687
Dr. Gillespie's Criminal Case,1943,USA,34000000.0,1799273.6640978553
Deadman Standing,2018,USA,30000000.0,95784829.53650746
Fatal Conflict,2000,Czech Republic,6000000.0,3448156.103115488
Going Down,2003,USA,166000000.0,124893099.95084819
Raging Angels,1995,USA,14000000.0,1653088.9454228473
Bob and the Monster,2011,USA,4000000.0,2772421.3476497945
Fatal Frames,1996,Italy,66000000.0,248425510.52780032
Peyote,2013,Mexico,633000000.0,256202626.4643037
The Perfect Tenant,2000,USA,38000000.0,39184402.59340611
"Europe, She Loves",2016,Switzerland,846000000.0,1152262327.745333
The Suffering,2017,Argentina,738000000.0,4440512284.532192
Lion of Oz,2000,Canada,79000000.0,422058366.86704457
Death Steps in the Dark,1977,Italy,63000000.0,93397037.38480148
The Brainiacs.com,2000,USA,21000000.0,109647881.03661335
Future Fear,1997,Canada,67000000.0,27328947.933881883
Chicago Deadline,1949,USA,4000000.0,1264145.2117983443
"Betty Boop, M.D.",1932,USA,85000000.0,7178708.604812606
Ratchakan,1997,India,58000000.0,307998469.96092594
The Fall of the Louse of Usher: A Gothic Tale for the 21st Century,2002,United Kingdom,46000000.0,40825642.26276692
Forza Bastia,1978,France,55000000.0,50164102.5664757
1/2 New Year,2019,USA,33000000.0,45599642.81644221
Violent Road,1958,USA,69000000.0,196070481.93993443
Francis in the Haunted House,1956,USA,37000000.0,68895600.18725613
The Good News,2022,India,59000000.0,66572641.18373805
Aznavour by Charles,2019,France,10000000.0,16986928.777196124
Rowthiram,2011,India,35000000.0,3529090.296772002
Middletown,2006,United Kingdom,21000000.0,72366333.35154858
Naughty But Nice,1939,USA,49000000.0,27343492.12502824
"Rudy, the Racing Pig",1995,Germany,57000000.0,90164157.4800094
Four Days,1999,Canada,6000000.0,635947.1974963545
The Mysterious Boy,2013,Croatia,49000000.0,486212390.4047958
A Gander at Mother Goose,1940,USA,5000000.0,784457.622191011
Dahan,1998,India,30000000.0,53838645.72325529
Going to Kansas City,1998,Canada,83000000.0,96411546.65171099
Dick Tracy's G-Men,1939,USA,19000000.0,11033482.427952154
Keep Quiet,2016,United Kingdom,11000000.0,9386373.516988764
April Showers,1948,USA,25000000.0,63561020.95921086
Mookie,1998,France,33000000.0,12724635.625911355
Once Upon a Wintertime,1948,USA,27000000.0,49834038.6115338
Cowboy Forever,2006,France,45000000.0,31350683.984295473
Knights Must Fall,1949,USA,17000000.0,15121601.833348196
In the Land of the Deaf,1992,France,2000000.0,8933487.009868119
Santa's Surprise,1947,USA,93000000.0,96994300.93222335
Slide Donald Slide,1949,USA,67000000.0,97966074.29561375
What Price Porky,1938,USA,27000000.0,40314678.82467281
The House of Darkness,1913,USA,15000000.0,23198088.299990304
Just Around the Corner,1933,USA,558000000.0,3306201718.5892615
Ticket to Jerusalem,2002,Netherlands,89000000.0,50159170.544945665
Magic Bricks,1908,France,31000000.0,27461448.51277831
Syrinx,1965,Canada,15000000.0,20589787.05806952
Bains en mer,1896,France,17000000.0,25441252.749885745
All My Loving,2019,Germany,25000000.0,96027154.92851295
Angel 4: Undercover,1994,USA,16000000.0,9188350.853956152
Wicked Women,1978,Switzerland,3000000.0,1189964.9860964785
"My Lover, My Son",1970,United Kingdom,622000000.0,2596872884.5514507
The Exotic Time Machine,1998,USA,64000000.0,311911990.74130356
Becoming Nobody,2019,USA,28000000.0,4343103.16196906
White Trash,2021,Sweden,6000000.0,8808335.334738057
Revenge of the Virgins,1959,USA,9000000.0,37621111.05328456
Pip,2018,USA,52000000.0,45738986.95339917
The Cats Bah,1954,USA,618000000.0,545640181.4192739
Pride of Lions,2014,Canada,3000000.0,1251657.4313815453
XXL,1997,France,9000000.0,4065980.409190198
The Ghost of Greville Lodge,2000,United Kingdom,19000000.0,127484116.90061623
The Ecstasy of Wilko Johnson,2015,United Kingdom,28000000.0,165277774.24909088
Jassy,1947,United Kingdom,37000000.0,140811892.52266037
"Daddy You, Daughter Me",2017,South Korea,17000000.0,44983703.96071051
4 Wedding Planners,2011,USA,541000000.0,717136389.1537282
My Husband's Secret Wife,2018,USA,622000000.0,91594803.03246985
No Place to Hide: The Rehtaeh Parsons Story,2015,Canada,81000000.0,110940468.22215837
Kubot: The Aswang Chronicles 2,2014,Philippines,56000000.0,44367518.47014752
Wa Islamah,1961,Egypt,23000000.0,17361942.54401757
XY Chelsea,2019,United Kingdom,28000000.0,11832254.860256467
Chatterbox,1936,USA,339000000.0,393490641.1524624
Guns of Darkness,1962,United Kingdom,9000000.0,1113849.6282744436
Pharos of Chaos,1983,West Germany,4000000.0,1994804.9079739256
Bosch: The Garden of Dreams,2016,Spain,185000000.0,20870020.999173086
The Plague,2013,Spain,9000000.0,5312778.662519009
Frog-g-g!,2004,USA,37000000.0,35527545.43191148
Barrage,2017,Luxembourg,43000000.0,5554377.897758505
The Tale of Iya,2013,Japan,66000000.0,39842175.750425465
Inspector Vikram,2021,India,13000000.0,23123450.908879988
The Custodian,1993,Australia,64000000.0,51359327.17638778
Conquest of Cochise,1953,USA,39000000.0,62218892.97893274
Travelling North,1987,Australia,5000000.0,34658279.11200193
The Life and Hard Times of Guy Terrifico,2005,Canada,63000000.0,1349876.9181899102
New Year,2020,Egypt,3000000.0,16003166.303376196
Appiness,2018,Canada,39000000.0,75915573.43547553
Gaze,2010,USA,526000000.0,379133383.8519152
Liberation: The Last Assault,1971,Soviet Union,98000000.0,21331190.749288198
Hero Hindustani,1998,India,6000000.0,4866922.52519938
An Afternoon,2014,Denmark,23000000.0,10252084.201603353
Sultan Gelin,1973,Turkey,10000000.0,48448745.74705221
Alles voor elkaar,2017,Netherlands,29000000.0,19027018.882021535
We Believe in Dinosaurs,2019,USA,5000000.0,3002377.996443411
